ID,metric,condition,Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R,module0_mean,module1_mean,module2_mean,module3_mean,module4_mean,module5_mean,module6_mean,module7_mean,module8_mean
86,clustering,reward,0.804761905,0.745454545,0.675889328,0.833333333,0.710526316,0.805263158,0.873684211,0.877192982,0.770562771,0.70995671,0.725274725,0.866666667,0.859649123,0.833333333,0.926470588,0.897058824,0.821052632,0.810526316,0.904761905,0.705128205,0.798418972,0.637426901,0.724637681,0.865497076,0.715789474,0.826839827,0.761904762,0.666666667,0.825273411,0.785200402,0.844685243,0.799068183,0.755787195,0.846491228,0.804945055,0.717922936,0.754676546
87,clustering,reward,0.909090909,0.936842105,0.886153846,0.874643875,0.883116883,0.910526316,0.874643875,0.9,0.886153846,0.893333333,0.916996047,0.939393939,0.886153846,0.947368421,0.905797101,0.886153846,0.874643875,0.874643875,0.889473684,0.889230769,0.913419913,0.920948617,0.88,0.876923077,0.902173913,0.909090909,0.920948617,0.893333333,0.905144222,0.877521368,0.891689277,0.922305434,0.897688,0.916761134,0.889352227,0.917184265,0.892801257
88,clustering,reward,0.956923077,0.94017094,0.980237154,0.956923077,0.952898551,0.956923077,0.94017094,0.94017094,0.94017094,0.956923077,0.967391304,0.94017094,0.956923077,0.956923077,0.971014493,0.96,0.94017094,0.94017094,0.963333333,0.94017094,0.94017094,0.944615385,0.94017094,0.963333333,0.984210526,0.946666667,0.94017094,0.984210526,0.944358974,0.954375528,0.961304348,0.95482844,0.956992803,0.956923077,0.951752137,0.942393162,0.956971435
89,clustering,reward,0.754385965,0.914285714,0.723809524,0.744588745,0.752380952,0.833333333,0.81871345,0.85620915,0.777777778,0.800865801,0.694736842,0.683982684,0.70995671,0.785714286,0.822222222,0.823529412,0.733333333,0.816666667,0.730769231,0.756410256,0.730994152,0.736842105,0.704761905,0.8,0.707509881,0.731225296,0.705627706,0.774891775,0.83589857,0.754599567,0.799377529,0.737350953,0.754344689,0.747835498,0.743589744,0.733918129,0.746320346
90,clustering,reward,0.913043478,0.756410256,0.956521739,0.87,0.985294118,0.90942029,0.90942029,0.753623188,0.833333333,0.87,0.956521739,0.956521739,0.917748918,0.965367965,0.935064935,0.956521739,0.956521739,0.90942029,0.857142857,1,0.956521739,0.818461538,0.985714286,0.985714286,0.756410256,0.818461538,0.887681159,0.978354978,0.833124303,0.923115942,0.958960264,0.940821256,0.819551282,0.941558442,0.928571429,0.887491639,0.959366177
1,centrality,reward,0.002601351,0.001956499,0.006942421,0.006942421,0.004463296,0.004740403,0.004642138,0.006942421,0.003366866,0.003975274,0.005915335,0.005346913,0.00311558,0.002809555,0.005816687,0.005375282,0.004280629,0.005589029,0.00178859,0.003598122,0.00257171,0.005907838,0.005328666,0.003504484,0.003935288,0.003935288,0.005328666,0.00178637,0.004035602,0.005938625,0.005218422,0.005334217,0.003803179,0.002962567,0.002693356,0.004239774,0.003987046
2,centrality,reward,0.012081132,0.012081132,0.000828898,0.000828898,0.001997595,0,0.012081132,0.010757667,0.00512543,0.00587005,0.001547582,0.004310915,0.000543901,0.000886356,0.00138638,0.00663298,0.0001295,0.001997595,0.00663298,0.001997595,0.012081132,0.001997595,0.001997595,0.000271334,0.012081132,0.012081132,0.000828898,0.001997595,0.011750266,0.000946223,0.003338985,0.001952832,0.008789436,0.000715128,0.004315287,0.007039363,0.001273855
3,centrality,reward,0.001662117,0.004792915,0.007496223,0.010706959,0.009437623,0.008311019,0.001662117,0.002178333,0.002515995,0.009086083,0.004469169,0.006008641,0.01483006,0.006456271,0.008388475,0.011263199,0.01483006,0.004950395,0.000758238,0.012317694,0.005572032,0.005954713,0.008166994,0.008053788,0.007358797,0.004789563,0.010314887,0.007097838,0.00257387,0.00949591,0.009696432,0.006262943,0.00593761,0.010643166,0.006537966,0.005763372,0.008408377
4,centrality,reward,0.012166758,0.00630557,0.006693235,0.009017188,0.023589628,0.006548308,0.008868645,0.014117754,0.009176329,0.005337796,0.001029866,0.015428535,0.015447727,0.016179298,0.013273356,0.014316614,0.008697119,0.006147992,0.008179827,0.001721767,0.003622004,0.016384346,0.007350045,0.003502289,0.012311956,0.018167384,0.010646597,0.007823348,0.010364682,0.007638884,0.017059866,0.007668903,0.011248366,0.015813513,0.004950797,0.010003175,0.00733057
5,centrality,reward,0.002710409,0.005756506,0.001368321,0.003527511,0.003280761,0.005074315,0.005756506,0.005756506,0.005756506,0.004185221,0.00350303,0.005756506,0.001368321,0.003527511,0.002302012,0.002302012,0.003280761,0.003527511,0,0.001796428,0.003138474,0.000681434,0.003280761,0.003280761,0.002302012,0.005756506,0.001368321,0.00082317,0.004994982,0.002926026,0.002628262,0.00477795,0.004500061,0.002447916,0.000898214,0.001909954,0.002188253
