ID,metric,condition,module1,module2,module3,module4,Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R
77,clustering,reward,0.633547009,0.877751978,0.753381693,0.990384616,0.756410256,0,0.882352941,0.795321637,1,1,0.777777778,1,0.843137255,0.882352941,1,1,0.961538462,1,0,0,0.933333333,0.9,0.79047619,0.852941176,0.808333333,0.790849673,0.908333333,0.908333333,0.771929825,0.771929825,0.843137255,0.882352941
78,clustering,reward,0.654435039,0.748026316,0.698767203,0.528258145,0.673684211,0.666666667,0.777777778,0.75,0.333333333,0.666666667,0.641025641,0.636363636,0.775,0.7,0.666666667,0.636842105,0.476190476,0.333333333,0.6,0.688888889,0.715789474,0.748538012,0.666666667,0.666666667,0.801470588,0.808823529,0.727941176,0.707602339,0.604395604,0.805555556,0.732026144,0.895238095
79,clustering,reward,0.403571429,0.578373016,0.466092935,0.58464591,0.714285714,0.6,0.714285714,0.472222222,0.5,0.571428571,0.3,0,0.436363636,0.333333333,0.384615385,0.511111111,0.642857143,0.8,0.666666667,0.714285714,0.571428571,0.555555556,0.333333333,0,0.384615385,0.5,0.428571429,0.422222222,0.428571429,0.80952381,0.5,0.428571429
80,clustering,reward,0.556547619,0.650757576,0.538613817,0.304761905,0.464285714,0.619047619,0.545454545,0.53030303,0.361111111,0,0.571428571,0.571428571,0.678571429,0.563636364,0.285714286,0.6,0,0.333333333,0.5,0.2,0.527272727,1,0.666666667,0.666666667,0.5,0.4,0.785714286,0.75,0.5,0.8,0.590909091,0.654545455
81,clustering,reward,0.360714286,0.625410033,0.695734892,0.243181818,0,0,0.614035088,0.571428571,0.755555556,0.666666667,0.742857143,0.7,0.846153846,0.696969697,0.333333333,0.472727273,0.166666667,0,0.6,0.2,0.647058824,0.669117647,0,0.813186813,0.871794872,0.785714286,0.939393939,0.639705882,0.766666667,0.742424242,0.939393939,0.868131868
82,clustering,reward,0.726028139,0.804781562,0.712614682,0.720367094,0.857142857,0.75,0.823529412,0.823529412,0.691666667,0.75,0.563636364,0.733333333,0.666666667,0.7,0.712418301,0.764705882,0.69005848,0.714285714,0.730769231,0.720588235,0.823529412,0.748538012,0.666666667,0,0.75,0.666666667,1,0.96969697,0.631578947,0.65497076,0.935897436,0.866666667
83,clustering,reward,0.983766234,0.978354978,0.776105778,0.807723979,0.978354978,0.978354978,0.978354978,0.978354978,0.901185771,0.901185771,1,0.978354978,0.978354978,1,0.5,1,0.829710145,0.901185771,0.333333333,0.978354978,0.978354978,0.978354978,0,0.897233202,0.978354978,1,0.333333333,0.4,0.978354978,0.978354978,0.917748918,0.841897233
84,clustering,reward,0.380952381,0.88713696,0.830669762,0.750292398,0,0,0.918128655,0.947712418,0.5,0.814285714,0.69047619,0.833333333,0.814285714,0.912087912,0.831578947,0.83625731,0.666666667,0.666666667,0.771428571,0.673684211,0.868421053,0.814285714,0.719047619,0.947712418,0.918128655,1,0.983333333,0.963235294,0.651515152,0.785714286,0.918128655,0.918128655
85,clustering,reward,0.758333333,0.612229438,0.521126443,0.585750361,0.833333333,0.533333333,0.666666667,0.642857143,0.288888889,0.555555556,0.666666667,1,0.666666667,0.607142857,0.563636364,0.39047619,0.388888889,1,0.571428571,0.484848485,0.666666667,0.472727273,0.333333333,1,0.166666667,0.555555556,0.5,0.733333333,0.428571429,0.622222222,0.3,0.523809524
86,clustering,reward,0.716666667,0.516183817,0.54763431,0.618452381,1,0.333333333,0.417582418,0.563636364,0.472222222,0.5,0.8,0.733333333,0.358974359,0.464285714,0.866666667,0.714285714,0.5,0.392857143,0.3,0.333333333,0.6,0.483516484,0.678571429,0.607142857,0.535714286,0.416666667,1,0.9,0.5,0.6,0.666666667,0.428571429
