choice_sex,sweet_sex,bitter_sex,choice_wt,sweet_wt,bitter_wt,choice_learn,sweet_learn,bitter_learn
0.519434382,0.650795277,0.771483672,0.35782636,0.753671234,0.771483672,0.678750913,0.753671234,0.835872644
0.464825948,0.773525066,0.771483672,0.558502627,1,0.771483672,0.530205893,0.684830813,0.623731064
0.422445165,0.881189179,0.623731064,0.5568429,0.835872644,0.689977794,0.666361255,1,0.559930409
0.461995309,0.835872644,0.753671234,0.496511317,0.881189179,0.771483672,0.379060246,0.915600728,0.465079797
0.373443035,1,0.604322934,0.535483739,0.669106187,0.559930409,1,0.881189179,0.771483672
0.512817138,0.669106187,0.650795277,0.59526038,0.890852246,0.771483672,0.501367592,0.669106187,0.669106187
0.630652083,1,0.835872644,0.695566577,0.753671234,0.753671234,0.510691902,0.684830813,0.753671234
0.544334595,0.753671234,0.771483672,0.307898724,0.753671234,0.669106187,0.584840254,1,0.753671234
0.468960093,0.753671234,0.753671234,0.634817633,0.753671234,0.753671234,0.695566577,0.881189179,0.753671234
0.501367592,0.881189179,0.778233264,0.564018291,0.726881098,0.510691902,0.519434382,0.890852246,0.753671234
0.684830813,0.890852246,0.584840254,0.530205893,0.881189179,0.753671234,0.467951999,0.771483672,0.738229555
0.496511317,1,0.771483672,0.480906739,0.753671234,0.771483672,1,0.669106187,0.669106187
0.544334595,0.738229555,0.773525066,0.512817138,0.753671234,0.771483672,0.463841086,0.835872644,0.345430127
0.460348269,0.669106187,0.773525066,0.464180446,0.657927206,0.527686383,0.511690768,1,0.723693864
0.508762243,0.773525066,0.753671234,0.525575622,0.802779968,0.835872644,0.526628747,0.835872644,0.738229555
0.352472304,0.881189179,0.835872644,0.525575622,0.915600728,0.753671234,0.633469632,0.771483672,0.771483672
0.512157433,1,0.669106187,0.651636485,0.684830813,0.753671234,0.438438438,0.753671234,0.771483672
0.886029885,0.726881098,0.876608978,0.496995467,0.881189179,0.666361255,0.584840254,0.753671234,0.753671234
0.519434382,0.753671234,0.771483672,0.584840254,0.650795277,0.771483672,0.697043672,0.835872644,0.753671234
0.565646212,0.771483672,0.584840254,0.451222049,0.890852246,0.753671234,0.695566577,0.669106187,0.771483672
0.634817633,0.753671234,0.835872644,0.445737938,0.67959928,0.753671234,0.358851838,0.669106187,0.771483672
0.542028844,1,0.771483672,0.544334595,0.689940614,0.771483672,0.607624254,0.753671234,0.577612692
0.463658771,1,0.835872644,0.549868467,0.771483672,0.677355313,1,0.749886533,0.771483672
0.460769767,0.684830813,0.657148292,0.678538392,0.738229555,0.602446115,0.695566577,0.753671234,0.800417827
0.545612616,0.915600728,0.650795277,0.558502627,0.753671234,0.623731064,0.460769767,0.669106187,0.771483672
0.463841086,0.753671234,0.835872644,0.735830207,1,1,0.913312297,0.650795277,0.771483672
0.538410355,0.753671234,0.771483672,0.461785318,0.753671234,0.554573525,0.525575622,0.915600728,0.771483672
0.512817138,0.669106187,0.771483672,0.60230236,1,0.74079781,0.558502627,0.669106187,1
0.530358011,0.890852246,0.835872644,0.886029885,0.753671234,0.835872644,0.464825948,0.835872644,0.773525066
0.915600728,0.835872644,0.771483672,0.784081279,0.753671234,0.835872644,0.470753983,0.669106187,0.771483672
0.508762243,1,0.738229555,0.422496232,0.753671234,0.835872644,0.735830207,0.753671234,0.771483672
