Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R,module0_mean,module1_mean,module2_mean,module3_mean,module4_mean,module5_mean,module6_mean,module7_mean,module8_mean
0.005389318,0.003019559,0.005389318,0.004921955,0.002979667,0.001887402,0.002979667,0.002979667,0.004111824,0.004111824,0.000609908,0.001639663,0.002552197,0.003997864,0.002979667,0.002979667,0.002564339,0.005389318,0.002405592,0.002979667,0.00511708,0.002655327,0.004754836,0.00151445,0.003019559,0.000609908,0.005389318,0.00223953,0.003592053,0.004566233,0.002979667,0.001378991,0.002963279,0.00327503,0.002692629,0.003886203,0.003474534
0.002276896,0.002676995,0.002790956,0.004932724,0.002915459,0.002915459,0.002790956,0.002289846,0.002413716,0.002165977,0.002790956,0.004932724,0.002526423,0.004154651,0.004038181,0.003486194,0.004932724,0.002790956,0.000778073,0.003937434,0.001388665,0.000986678,0.004365551,0.004932724,0.004932724,0.00462883,0.003697809,0.003697809,0.002508673,0.00386184,0.003479945,0.00354638,0.003535312,0.003340537,0.002357754,0.001187672,0.004173473
0.005283472,0,0.00155243,0.00155243,0.000485156,0.000485156,0.005283472,0.003899643,0.00155243,0.005283472,0.005283472,0.001315013,0.004583244,0.004583244,0.000237417,0.000485156,0.00155243,0.005283472,0.003899643,0.003899643,0.00155243,0.001315013,0.005283472,0.000237417,0.004528055,0.00155243,0.00155243,0.00155243,0.003616647,0.00248519,0.000402576,0.002361214,0.003229097,0.004583244,0.003899643,0.001433721,0.002156437
0.005223172,0,0.006080876,0.000501578,0.000501578,0.008438086,0.007105549,0.00012387,0.000501578,0.000501578,0.014109347,0.014967051,0.000501578,0.000501578,0.007844544,0.014967051,0.000501578,0.000501578,0.008438086,0.006080876,0.006080876,0.005223172,0.005606042,0.000501578,0.000501578,0.000501578,0.000501578,0.000501578,0.003113148,0.001896403,0.007771058,0.012504828,0.000501578,0.000501578,0.007259481,0.005652024,0.001777694
0.000892237,0.000892237,0.002562418,0.005039049,0.002562418,0.003109868,0.000361287,0.003660649,0.002562418,0.005039049,0.005039049,0.005039049,0.005039049,0.003040044,0.003198917,0.004577317,0.00231421,0.005039049,0.004096236,0.0001295,0.005039049,0.002161562,0.000366917,0.002937266,0.002562418,0.002562418,0.001426471,0.004219934,0.001451602,0.003738681,0.003446217,0.004395988,0.003181576,0.004039547,0.002112868,0.003600306,0.002237647
0.005604033,0.003823584,0.008795475,0.008795475,0.006698075,0.007179228,0.003477634,0.002117899,0.00214163,0.006015681,0.007501437,0.00342917,0.007797251,0.005747025,0.00480887,0.002663948,0.001293597,0.00501178,0.000784039,0.008795475,0.006015681,0.003821988,0.00208876,0.004868554,0.002069425,0.008795475,0.008795475,0.000664476,0.003755787,0.005974082,0.004723631,0.006036612,0.004755553,0.006772138,0.004789757,0.004918835,0.004104316
0.015688009,0.009625906,0.023522735,0.025275823,0.004463419,0.010053437,0.010356786,0.007369283,0.010433797,0.008606035,0.015456727,0.023560223,0.005921682,0.016809509,0.010758261,0.013755836,0.004887943,0.013111605,0.001457493,0.003686026,0.007445231,0.010517973,0.001818624,0.000907247,0.009690676,0.020232436,0.001818624,0.000517944,0.010759996,0.016699526,0.009659172,0.016356796,0.012240736,0.011365596,0.00257176,0.008981602,0.00126561
0.007296422,0.002537561,0.003874567,0.003980315,0.001784907,0.003456291,0.005887431,0.005972093,0.002369927,0.002250992,0.004708648,0.007296422,0.004581868,0.004664001,0.003117691,0.000696548,0.00672866,0.005972093,0.001379434,0.004708648,0.005771715,0.00413961,0.003830186,0.00338432,0.007296422,0.005972093,0.00413961,0.004708648,0.005423377,0.005138909,0.001866382,0.005153787,0.004472359,0.004622934,0.003044041,0.004955662,0.004015691
0.009404753,0.00425668,0.009960876,0.000850005,0.028917577,0.002418498,0.02304235,0.009688831,0.01274777,0.002265493,0.006767473,0.006720061,0.011459386,0.004345038,0.006174104,0.008850029,0.005538249,0.023608135,0.019629642,0.007204722,0.013459949,0.007725837,0.001415489,0.000952988,0.023735302,0.042820846,0.023822664,0.035493606,0.011598154,0.009989316,0.014647237,0.00530201,0.020392353,0.007902212,0.013417182,0.010592893,0.015421187
0,0.002645503,0.002645503,0,0.002645503,0.002645503,0.002645503,0.002645503,0,0.002645503,0,0,0.002645503,0.002645503,0.002645503,0,0,0,0,0,0,0.002645503,0.002645503,0,0.002645503,0.002645503,0,0,0.001984127,0.000661376,0.001763668,0.000881834,0.001984127,0.002645503,0,0.001322751,0.000661376
