Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R,module0_mean,module1_mean,module2_mean,module3_mean,module4_mean,module5_mean,module6_mean,module7_mean,module8_mean
0.852631579,0.889705882,0.757246377,0.908496732,0.75,0.863636364,0.894736842,0.852631579,0.800865801,0.735507246,0.743333333,0.786561265,0.766666667,0.807017544,0.751633987,0.727272727,0.845588235,0.744588745,0.975,0.830409357,0.716923077,0.871345029,0.775,0.909090909,0.739130435,0.778656126,0.857142857,0.8,0.872426471,0.813980022,0.742968905,0.797843654,0.763539902,0.786842105,0.902704678,0.794134053,0.835308442
0.947619048,0.933333333,0.864615385,0.849230769,0.862318841,0.923809524,0.897233202,0.884057971,0.876666667,0.84045584,0.84045584,0.84045584,0.889473684,0.894736842,0.884210526,0.84045584,0.864615385,0.930735931,0.891304348,0.863157895,0.856666667,0.9004329,0.905263158,0.955882353,0.843076923,0.885375494,0.876811594,0.891774892,0.915560888,0.877299367,0.862328402,0.868240402,0.861393731,0.892105263,0.877231121,0.878549784,0.907432999
0.984848485,0.942857143,0.815384615,0.865942029,0.827692308,0.875816993,0.897233202,0.85,0.830769231,0.86,0.916666667,0.897058824,0.861471861,0.935897436,0.833333333,0.85620915,0.843333333,0.909090909,0.915789474,0.893280632,0.865942029,0.843333333,0.855072464,0.914285714,0.830769231,0.830769231,0.926406926,0.926406926,0.918734707,0.858437722,0.839078264,0.896514161,0.838076923,0.898684649,0.904535053,0.854637681,0.905543008
0.83625731,0.849673203,0.800724638,0.776666667,0.796536797,0.845588235,0.852631579,0.822510823,0.805194805,0.772307692,0.80952381,0.773333333,0.785714286,0.83625731,0.821052632,0.793333333,0.814285714,0.821052632,0.83625731,0.789473684,0.776190476,0.842857143,0.849673203,0.830882353,0.782608696,0.793333333,0.782608696,0.797385621,0.840268229,0.803182413,0.80364092,0.809481793,0.788361132,0.810985798,0.812865497,0.80952381,0.815137468
0.869565217,0.916996047,0.883076923,0.883076923,0.924901186,0.941520468,0.916996047,0.917748918,0.843304843,0.920948617,0.914285714,0.914285714,0.905797101,0.917748918,0.922077922,0.886666667,0.843304843,0.85,0.871428571,0.861904762,0.843304843,0.883076923,0.977777778,0.885714286,0.883076923,0.849230769,0.846153846,0.978947368,0.905326558,0.864864672,0.911215258,0.923363965,0.874140288,0.91177301,0.866666667,0.863190883,0.92214832
0.80952381,0.844444444,0.824615385,0.865612648,0.844155844,0.83625731,0.81027668,0.800865801,0.9004329,0.876666667,0.908496732,0.876666667,0.909090909,0.929824561,0.896103896,0.844155844,0.891304348,0.909090909,0.821052632,0.846666667,0.843333333,0.876666667,0.896103896,0.942105263,0.885375494,0.891304348,0.789173789,0.909090909,0.816277684,0.872655822,0.861471861,0.873806903,0.888444852,0.919457735,0.833859649,0.86,0.884118464
0.923913043,0.977777778,0.871794872,0.913846154,0.963333333,0.916666667,0.871794872,0.972222222,0.963333333,0.913846154,0.963333333,0.916923077,0.978354978,0.865942029,0.978354978,0.920289855,0.916923077,0.916923077,0.923333333,0.971014493,0.980237154,0.870769231,0.963333333,0.971014493,0.913333333,0.916666667,0.963333333,0.963333333,0.936426979,0.904871795,0.953992722,0.932307692,0.926794872,0.922148504,0.947173913,0.925503192,0.965253623
0.760233918,0.757575758,0.771929825,0.723320158,0.803921569,0.77173913,0.826315789,0.85380117,0.778656126,0.814229249,0.76284585,0.810526316,0.793478261,0.757246377,0.757575758,0.819047619,0.771428571,0.814229249,0.786764706,0.845588235,0.776190476,0.79047619,0.794466403,0.808333333,0.758893281,0.768115942,0.81871345,0.945454545,0.799481659,0.770226951,0.793514982,0.781703765,0.77997365,0.775362319,0.816176471,0.783333333,0.841741933
0.917748918,0.928853755,0.863247863,0.863247863,0.896666667,0.891304348,0.901185771,0.952631579,0.863247863,0.976190476,0.928571429,0.947368421,0.863247863,0.928853755,0.952380952,0.905797101,0.863247863,0.863247863,0.936842105,0.942105263,0.863247863,0.883076923,0.897058824,0.933333333,0.883076923,0.883076923,0.863247863,0.989473684,0.925105006,0.863247863,0.918281573,0.922414732,0.901398046,0.896050809,0.939473684,0.873162393,0.920778426
0.895238095,0.898550725,0.849002849,0.893333333,0.869565217,0.930735931,0.880952381,0.862318841,0.902173913,0.849002849,0.898550725,0.886153846,0.909090909,0.93115942,0.928571429,0.920289855,0.849002849,0.849002849,0.941176471,0.981818182,0.90513834,0.87,0.90513834,0.933823529,0.916666667,0.944664032,0.886153846,0.886153846,0.88426501,0.86008547,0.906142167,0.905146834,0.903126865,0.920125165,0.961497326,0.88756917,0.90281739
0.985714286,0.864615385,0.913043478,0.965367965,0.873188406,0.873188406,0.855384615,0.857894737,0.831908832,0.831908832,0.84,0.855384615,0.939393939,0.933333333,0.902173913,0.902173913,0.928853755,0.913043478,0.895238095,0.904761905,0.855384615,0.864615385,0.9,0.922077922,0.864615385,0.85620915,0.898550725,0.928853755,0.890902256,0.930077169,0.892512077,0.856191007,0.84616055,0.936363636,0.9,0.86,0.9123706
0.921568627,0.9,0.88034188,0.930735931,0.883333333,0.883333333,0.88034188,0.886153846,0.898550725,0.894927536,0.917748918,0.898461538,0.909090909,0.88034188,0.883333333,0.904761905,0.903333333,0.909090909,0.897233202,0.891304348,0.936842105,0.869565217,0.906666667,0.909090909,0.893280632,0.883076923,0.883076923,0.884057971,0.897016088,0.905875513,0.89047619,0.89984793,0.892458954,0.894716395,0.894268775,0.903203661,0.895723117
0.88,0.916666667,0.892307692,0.924901186,0.855384615,0.981818182,0.883333333,0.883333333,0.928853755,0.95,0.876923077,0.867692308,0.892307692,0.894927536,0.876923077,0.892307692,0.916666667,0.940711462,0.863157895,0.9,0.923913043,0.935672515,0.952380952,0.923976608,0.883333333,0.867692308,0.889328063,0.906666667,0.890833333,0.918646752,0.874871795,0.908811189,0.907469849,0.893617614,0.881578947,0.929792779,0.918088073
