ID,sweet_level,module,clustering,centrality
83,3,1,0.983766234,0.000747165
84,4,1,0.380952381,0.027750923
85,3,1,0.758333333,0.008601147
86,4,1,0.716666667,0.029396565
87,4,1,0.673513986,0.016094763
88,1,1,0.658700981,0.032040996
89,1,1,0.714155534,0.035008518
90,2,1,0.649747475,0.031118253
1,2,2,0.601462463,0.07835995
2,4,2,0.641853715,0.040838831
3,2,2,0.80170502,0.04590734
4,3,2,0.652625153,0.023181738
5,4,2,0.754732021,0.024364446
6,3,2,0.630827068,0.042451969
7,3,2,0.666126856,0.031189847
9,4,2,0.712878788,0.024824397
10,4,2,0.559576535,0.061564471
11,4,2,0.4375,0.0707988
12,4,2,0.526098901,0.071719189
13,4,2,0.637878788,0.021965422
14,3,2,0.518055556,0.038992945
15,4,2,0.605357143,0.045144253
16,4,2,0.671726191,0.042206945
17,4,2,0.629434046,0.038875931
18,4,2,0.741783054,0.032437537
19,4,2,0.65436508,0.038116936
20,1,2,0.776968865,0.025180904
21,4,2,0.582387058,0.031271881
22,4,2,0.516666667,0.009296846
24,2,2,0.758448204,0.01689819
25,1,2,0.547985348,0.087288077
26,2,2,0.773342671,0.013998013
27,4,2,0.596243952,0.072601402
28,3,2,0.813068753,0.025256781
29,4,2,0.383333333,0.043700538
30,3,2,0.473484849,0.080380885
31,1,2,0.711538462,0.021276942
32,4,2,0.681444169,0.024086334
33,4,2,0.041666667,0.037561028
34,4,2,0.65283189,0.05331399
35,3,2,0.650113949,0.026537947
36,1,2,0.566039557,0.069708569
37,2,2,0.619047619,0.042029293
38,4,2,0.781283372,0.018729678
39,2,2,0.884674922,0.008045399
40,1,2,0.812555704,0.014715936
41,4,2,0.606926407,0.108181274
42,2,2,0.664606227,0.022219824
43,2,2,0.348989899,0.066285412
44,4,2,0.602146995,0.046431845
45,3,2,0.565189654,0.045228995
46,4,2,0.558333333,0.032216579
47,4,2,0.561237374,0.055612731
48,2,2,0.679312354,0.013126792
50,3,2,0.836728794,0.010333201
52,3,2,0.532738095,0.036496503
53,4,2,0.543434344,0.079406971
54,3,2,0.697259481,0.027274416
55,1,2,0.667243867,0.01972245
56,2,2,0.701133589,0.045505947
57,3,2,0.610317461,0.068764473
58,4,2,0.603774588,0.038035129
59,4,2,0.747402598,0.011378375
60,4,2,0.893170427,0.013604801
61,4,2,0.978021978,0.001438851
62,2,2,0.779304029,0.019564426
63,2,2,0.671590127,0.043912921
64,1,2,0.840217029,0.011529291
66,4,2,0.669655345,0.047309584
67,3,2,0.586328745,0.042165817
68,3,2,0.722710092,0.021682175
69,3,2,0.690151515,0.051742188
70,2,2,0.692337461,0.073538372
71,3,2,0.501984127,0.043730215
72,2,2,0.780586081,0.035613394
73,4,2,0.719852044,0.025372404
74,4,2,0.581222944,0.021878961
75,1,2,0.775280112,0.037986431
76,2,2,0.439880952,0.06630578
77,1,2,0.877751978,0.007650467
78,4,2,0.748026316,0.018365787
79,3,2,0.578373016,0.032627119
80,4,2,0.650757576,0.054376249
81,3,2,0.625410033,0.066058682
82,2,2,0.804781562,0.011984839
83,3,2,0.978354978,0.00099622
84,4,2,0.88713696,0.007210431
85,3,2,0.612229438,0.019434171
86,4,2,0.516183817,0.080950149
87,4,2,0.660448987,0.035002253
88,1,2,0.645275803,0.025656694
89,1,2,0.866736695,0.005265368
90,2,2,0.547835498,0.051003604
1,2,3,0.730308233,0.026278486
2,4,3,0.583123178,0.011853624
3,2,3,0.88226616,0.012008445
4,3,3,0.637607988,0.024891778
5,4,3,0.794799074,0.015917451
6,3,3,0.651574896,0.0205388
7,3,3,0.607882467,0.017510899
9,4,3,0.570558914,0.026287174
10,4,3,0.625734856,0.019612157
11,4,3,0.360799964,0.020870276
12,4,3,0.583658009,0.02265949
13,4,3,0.659433786,0.020962904
14,3,3,0.428075397,0.052806825
15,4,3,0.652805467,0.021779576
16,4,3,0.732186307,0.020455901
17,4,3,0.533245574,0.03035536
18,4,3,0.614848795,0.034597325
19,4,3,0.534656836,0.037971431
20,1,3,0.614316788,0.031438479
21,4,3,0.582247267,0.049491021
22,4,3,0.565335359,0.039411474
24,2,3,0.776528557,0.015742762
25,1,3,0.663390776,0.021207894
26,2,3,0.725309196,0.015134675
27,4,3,0.676321248,0.02477882
28,3,3,0.771574626,0.036440377
29,4,3,0.513541667,0.041862502
30,3,3,0.308743687,0.028265048
31,1,3,0.659387283,0.026224432
32,4,3,0.689928025,0.019061069
33,4,3,0.39375,0.047380228
34,4,3,0.441369048,0.035571785
35,3,3,0.702071909,0.014438447
36,1,3,0.675580669,0.02488743
37,2,3,0.490868507,0.039746949
38,4,3,0.793697798,0.007448052
39,2,3,0.82731926,0.01797484
40,1,3,0.70856699,0.022042524
41,4,3,0.55029311,0.042123412
42,2,3,0.577642496,0.031569519
43,2,3,0.548809524,0.037980647
44,4,3,0.69567776,0.023042748
45,3,3,0.620526869,0.017028237
46,4,3,0.650048563,0.024829449
47,4,3,0.573958333,0.034526531
48,2,3,0.605011043,0.026583919
50,3,3,0.777782613,0.019249691
52,3,3,0.390521284,0.037383977
53,4,3,0.563045635,0.036982625
54,3,3,0.632616301,0.022919082
55,1,3,0.483054272,0.041799195
56,2,3,0.601515151,0.032592552
57,3,3,0.656467491,0.036591018
58,4,3,0.545320825,0.022298439
59,4,3,0.622267612,0.022069277
60,4,3,0.857475797,0.023271603
61,4,3,0.689674908,0.064370188
62,2,3,0.625971945,0.043495184
63,2,3,0.672088602,0.019290162
64,1,3,0.888198996,0.007838465
66,4,3,0.47826826,0.039499287
67,3,3,0.472016699,0.03155134
68,3,3,0.555852409,0.013117612
69,3,3,0.476366342,0.019805163
70,2,3,0.817918081,0.009776753
71,3,3,0.471308032,0.05061404
72,2,3,0.709632728,0.044628866
73,4,3,0.651446151,0.03643778
74,4,3,0.592708333,0.03350737
75,1,3,0.782322095,0.015939257
76,2,3,0.46577381,0.077415546
77,1,3,0.753381693,0.009042195
78,4,3,0.698767203,0.015440878
79,3,3,0.466092935,0.039255169
80,4,3,0.538613817,0.039272578
81,3,3,0.695734892,0.02524923
82,2,3,0.712614682,0.017409915
83,3,3,0.776105778,0.018341474
84,4,3,0.830669762,0.025508005
85,3,3,0.521126443,0.043792329
86,4,3,0.54763431,0.030837377
87,4,3,0.644182412,0.015249495
88,1,3,0.629136683,0.016362535
89,1,3,0.790885106,0.024831814
90,2,3,0.524183802,0.022429844
1,2,4,0.605844156,0.005587494
2,4,4,0.716666667,0.031032548
3,2,4,0.785964912,0.003662006
4,3,4,0.52979798,0.09841623
5,4,4,0.84589169,0.008490676
6,3,4,0.581944445,0.01163183
7,3,4,0.661858077,0.034043528
9,4,4,0.642149517,0.028280297
10,4,4,0.687400794,0.03168576
11,4,4,0.435714286,0.057840976
12,4,4,0.442857143,0.046511606
13,4,4,0.448572384,0.023678763
14,3,4,0.5,0.039967315
15,4,4,0.528846154,0.050702433
16,4,4,0.771694972,0.009129714
17,4,4,0.586499612,0.043656342
18,4,4,0.755427171,0.010203246
19,4,4,0.166666667,0.082198646
20,1,4,0.391666667,0.004658449
21,4,4,0.506944445,0.036436403
22,4,4,0.662545788,0.059124992
24,2,4,0.712399733,0.015134913
25,1,4,0.668014706,0.034711042
26,2,4,0.634341557,0.026602359
27,4,4,0.592063492,0.047460789
28,3,4,0.771338579,0.034791723
29,4,4,0.487121212,0.071596759
30,3,4,0.632720058,0.026124904
31,1,4,0.710124434,0.022852932
32,4,4,0.591445809,0.043612767
33,4,4,0.229761905,0.067786309
