Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R,module0_mean,module1_mean,module2_mean,module3_mean,module4_mean,module5_mean,module6_mean,module7_mean,module8_mean
0.000996288,0.000460589,0.001364623,0.001364623,0.001364623,0.001136703,0.001364623,0.001364623,0.001364623,0.001364623,0.000984756,0.001136703,0.001131954,0.001364623,0.000984756,0.001364623,0.001364623,0.001364623,0.00034188,0.001364623,0.001364623,0.000698006,0.000465337,0.000698006,0.001364623,0.001364623,0.001136703,0.000698006,0.001046531,0.001364623,0.001238001,0.001086054,0.001364623,0.001248289,0.000853252,0.001031314,0.000749513
0.000997151,0.003500872,0.006018222,0.019432277,0.006018222,0.013722796,0.006018222,0.009528996,0.006018222,0.011813456,0.012224709,0.023190296,0.00339152,0.022001515,0.024740352,0.011741512,0.003361525,0.00464027,0.003624148,0.001092265,0.000758901,0.005724572,0.002905928,0.003361525,0.006018222,0.002902519,0.003361525,0.015508494,0.00501131,0.008363074,0.014166695,0.016379267,0.006688105,0.012696517,0.002358206,0.003241737,0.006284368
0.002106765,0.000727245,0.003897591,0.013173658,0.018428843,0.013607021,0.013301962,0.013893799,0.008700711,0.012093055,0.001763668,0.000828282,0.015854369,0.014395617,0.014903569,0.005108949,0.011081664,0.011081664,0.010156977,0.008116945,0.007649618,0.000653877,0.003472171,0.0084314,0.008700711,0.004437639,0.005566902,0.010030571,0.007507443,0.009808644,0.012813787,0.005399657,0.008483029,0.015124993,0.009136961,0.004151747,0.006875261
0.001536801,0.005431584,0.00687296,0.005521427,0.00687296,0.004369217,0.003758043,0.005431584,0.00687296,0.001633787,0.004964233,0.003429586,0.00402625,0.002410922,0.004206055,0.003038496,0.001742446,0.003957171,0.0019945,0.005130822,0.00521653,0.002708224,0.005628542,0.004853545,0.004881959,0.006129835,0.00687296,0.003013723,0.004039503,0.004523501,0.004705837,0.004254345,0.004879635,0.003218586,0.003562661,0.003962377,0.005092192
0.001121253,0.004440115,0.001142979,0.004440115,0.001142979,0.002929492,0.002343122,0.004440115,0.004440115,0.002552252,0.004440115,0.004440115,0.002653603,0.0018393,0.002049125,0.00088961,0.002653603,0.004440115,0.003853745,0.001629564,0.001935556,0.002343122,0.001914607,0.002929492,0.002276363,0.002653603,0.003397791,0.004440115,0.003086151,0.003169203,0.001360571,0.003936574,0.002980583,0.002246451,0.002741654,0.002139339,0.003170501
0.002516753,0.001901628,0.002516753,0.002516753,0.00134849,0.00163693,0.002516753,0.001224688,0.001990897,0.002516753,0.00108949,0.001484157,0.002516753,0.002516753,0.002036758,0.002149836,0.002516753,0.001990897,0.002036758,0.001902097,0.002139045,0.002516753,0.002516753,0.002149836,0.001636461,0.001902097,0.00159623,0.00159623,0.002039955,0.002385289,0.001845028,0.001403526,0.002011552,0.002516753,0.001969428,0.002327899,0.001964762
0.00064187,0.00050674,0.001439855,0.007516597,0.007516597,0.001439855,0.001439855,0.006182112,0.001056985,0.005092152,0.001439855,0.001439855,0.001439855,0.001439855,0.00089524,0.006503315,0.001439855,0.00606019,0.0001295,0.007516597,0.000803615,0.007516597,0.000901407,0.001439855,0.001439855,0.001439855,0.001439855,0.006503315,0.002192644,0.004114124,0.004971717,0.001439855,0.002257212,0.001439855,0.003823048,0.004160106,0.002571108
0.007603992,0.0037531,0.019305491,0.001608526,0.009219588,0.011317181,0.006958249,0.007542839,0.004900391,0.011745878,0.017340109,0.020417137,0.011969881,0.031666155,0.008924595,0.018095217,0.007103862,0.032977498,0.001608526,0.008970134,0.026231795,0.006613233,0.010611157,0.002760819,0.021899253,0.014362737,0.007411836,0.003263155,0.006464545,0.015248844,0.0120798,0.016358142,0.013227065,0.021818018,0.00528933,0.016422514,0.006011742
0.007603655,0.000325866,0.016760413,0.001161391,0.01243663,0.006986647,0.008887505,0.007100281,0.005636455,0.044906713,0.022452861,0.016842833,0.010974377,0.026277099,0.012341169,0.016334561,0.01173517,0.027013234,0.000325866,0.013923744,0.017813035,0.004248017,0.006965494,0.002225038,0.03416995,0.003335854,0.007823239,0.000971251,0.005979327,0.014167552,0.01370412,0.015427447,0.022012243,0.018625738,0.007124805,0.011030526,0.004496256
0.006225969,0.014746235,0.011871744,0.014342679,0.016186584,0.001241557,0.007800226,0.005015459,0.009768475,0.015174235,0.008262841,0.015499587,0.011752755,0.011174506,0.004243289,0.016732099,0.006322908,0.006322908,0.013249245,0.005231601,0.013068265,0.011521662,0.003162764,0.005501004,0.015053048,0.012163385,0.016388867,0.004027384,0.008446972,0.00971506,0.012387324,0.008334661,0.013039786,0.011463631,0.009240423,0.012294964,0.007270005
