"","Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_L","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"mOFC_R",-0.604527481778589,-0.984874188890684,-0.404774604857129,-0.520202327351725,1.15505913508473,1.2040896006532,-0.176809054283972,-0.216111995429713,-0.384857335593669,-0.213470927814587,1.74899797655506,1.50590300867149,0.400781604561023,0.588956587575607,3.70806899198298,70.1952559823264,-0.449841992331166,-0.483767133324385,-1.3789280088286,-0.76655364578174,-0.656702982548588,-1.00595269671633,-0.730657150592671,-0.941197448706769,-0.207359016906091,-0.189115384554464,-0.00988939952861086,-0.0880809407923174
"Oral_somatosensory_cortex_L",-1.23868013526219,-1.47933335903992,4.73484567775418,3.01237326581584,-1.14637253574729,-1.15576976537468,-1.04737731102674,-1.51595437434664,2.10328980069206,1.41222917797376,-0.43873935467784,-0.318750376200631,0.320047083188053,0.163342353085903,-0.525320007932585,-0.449281530478579,74.8906689179419,6.89778002126679,-0.825762177845168,0.000425727775681329,0.744818451019492,0.114633607995163,2.96076680275935,2.00009048500082,0.505025309300595,0.364745116804687,2.0647221519425,2.72140397553512
"Oral_somatosensory_cortex_R",-0.965401984246049,-1.29990617946272,4.71581331173453,3.26570180019476,-1.14017964345042,-0.96729300340325,-0.711827905103469,-1.05277922145497,2.72913866402231,1.80358936089206,-0.120930577975363,0.0814029300501939,0.184350540393928,0.218754991578908,-0.960629775733582,-0.550887622182048,6.845151093903,56.8984261217388,-0.891971319974661,0.238003707960317,1.0120456670081,0.446532495068714,2.6247959067396,2.06606498394904,0.731131632614893,0.705777460311663,1.49726381358457,2.34321191144653
"Precuneus_L",-0.7147867526561,-0.812324115816903,-0.568655914455214,-0.249868363067681,-1.12707571924489,-1.13622834910781,-0.877262925801991,-0.88605229540338,-1.0907120425936,-0.95154571673717,-0.675020884419276,-0.673673029062278,-0.981274831857875,-1.1384304127474,-1.10217519168121,-1.44599013749335,-0.786824364701001,-0.848202848786066,111.314036628383,1.00482541881902,-1.08384506326393,-0.708489226192588,-0.0433798977584703,-0.140904635290938,-1.01291998211988,-1.17321352006456,-0.252250175125722,-0.835131494297615
"Precuneus_R",-0.71862048452391,-0.678657248979846,0.669638184926671,1.23545369252287,-0.894729557599207,-1.28779675888399,-0.452065252023194,-0.556054740371008,0.202621150572586,0.0835075267905546,-0.543307435716916,-0.547824544050773,-0.677688375270233,-0.800396626250369,-0.900568341532118,-0.845422141941893,0.146902460551562,0.362665248104451,0.986974381696848,73.3181523986256,0.16250949705602,0.133770310187876,0.351558172835149,0.409127452675823,-0.357420002384962,-0.434376735349555,0.747610666421797,0.590078734068976
"Ventral_striatum_L",0.0840144801165653,-0.368330516721555,0.85917616100369,0.620948764688244,-0.566083446780797,-0.843160940288883,0.620732364636589,0.384888416624096,0.635652245623615,0.215795160244769,-0.759554328659285,-0.705947591112313,-1.02438325114177,-1.22126820756663,-0.296672599382893,-0.70915794456306,0.776538730301044,1.06318892321781,-1.02381323832615,0.166007942670219,69.7225404635136,2.74251050964221,0.48799075853891,0.608129763627902,-0.342668038718535,-0.157221862741726,1.4620556060845,1.53476183220377
"Ventral_striatum_R",0.442114162439767,0.646349970226947,0.245713338890779,0.418481679651343,-0.720557651821938,-1.01223094276051,0.814200916078662,1.02926118473023,0.544214101081725,0.182838587815002,-1.04379365665576,-0.822274275276655,-1.53633197482262,-1.91290227971386,-0.896456995115291,-0.984275135239564,0.103120319396092,0.412495892815212,-0.719010630450069,0.104012828491813,2.70486616987823,94.3491139467023,-0.360592221319615,0.0319384391436586,-0.428646340296516,-0.141004685139348,0.541346081015867,0.908150293050724
"vlPFC_L",-1.47007049893648,-1.90680089368744,2.24516446447683,1.60234931465669,-1.79242208583459,-1.57646817774482,-1.43408022926531,-1.84340881685051,1.34095315139603,0.808198811054757,-0.883821116530899,-0.857210384603809,-0.376514258492865,-0.778417179848298,-0.906869424295287,-0.762711376577404,2.92139091378027,2.67648114903666,-0.0250093387316351,0.288867932815707,0.441580204072302,-0.300287589472876,75.3170891278321,5.05928002776549,-0.109688653256467,-0.343212082317775,2.39094629742415,2.64326020827902
"vlPFC_R",-1.43481242939619,-1.65442049120096,1.73922421828704,1.30835164690556,-1.814610494293,-1.75998521236172,-1.43111745288248,-1.58443100595876,1.20116784524913,0.83209894234899,-0.953570766835614,-0.92218837407153,-0.621705511206597,-1.05613224958526,-1.16116392972964,-0.925528536151198,2.03178995781887,2.16467936486158,-0.152887417179088,0.321911133075451,0.561492041964826,0.0882453862764201,5.01420836880636,129.267278173988,-0.172444662639598,-0.463121093555327,2.17717389765972,2.51657938048649
"vlThalamus_L",-0.500977549154334,-0.477707933358436,0.469667946327041,0.207047817736486,-0.0921889259738091,-0.464973928695447,0.085003994034242,-0.0990159236063837,2.08337420674841,1.3089267092378,0.0224703131677016,0.141675153180606,0.597719749049905,1.58662296096683,-0.377115666681272,-0.232092566739829,0.539146741767041,0.775634969198665,-0.989432891250556,-0.338111454438958,-0.401254376134717,-0.50732024153529,-0.120933525244785,-0.164145034438691,93.4121210900776,3.46329574768893,-0.408048561508525,-0.374895909098075
"vlThalamus_R",-0.222193519463778,-0.133447034306931,0.25067945430491,0.0146631804539503,0.254858120585944,-0.122465307040592,0.770554314880614,0.503530879539677,2.15391776657494,1.45440835715894,0.0556011079218262,0.196687081522744,0.504889233527344,1.10173420203051,-0.252605219904729,-0.16759941680619,0.330837313099479,0.658502776833021,-1.18764673256957,-0.427576957718561,-0.148611741264035,-0.160356728847362,-0.411383262525749,-0.497846420327672,3.48458288051816,85.0375125183652,-0.55134133350282,-0.467682985584403
"vmPFC_L",-1.18670787284858,-1.40304105493835,2.20587751060811,1.94676984488569,-0.318865172355456,-1.76093371095482,-0.624724838006954,-0.928858013808782,0.841434817887037,0.711670121941858,-1.19160597074817,-1.19533342056008,-0.715365953041848,-1.22191235412036,0.780694373591689,0.000843803213697435,2.12038869518346,1.64070233299106,-0.246299902802446,0.705466088098524,1.47596231056791,0.619485311114569,2.39095847768632,2.17791257059485,-0.342414432594488,-0.471236273567383,92.3014916358989,4.67189248794259
"vmPFC_R",-1.22949187002906,-1.36542252395977,2.77990516474365,2.49174234960288,-0.726932958960395,-1.62705301870837,-0.779716591924724,-1.04908865734421,1.41633992228129,1.46034022334349,-1.01373573055943,-0.956693365649726,-0.897366200073986,-1.30131887700615,0.136909939326624,-0.068919128884711,2.74803922495039,2.44247785414127,-0.79281740686419,0.543246501616526,1.53606341061298,0.954727893074622,2.6844975501377,2.53714868697687,-0.350282622289717,-0.414685701878608,4.64570499848834,94.2899348761049
